name,address,city,postal_code,rating,user_ratings_total,types,maps_url,matched_keywords,place_category,product_category
Oliverda,"Tram 3 ou 4 Sortie Beurse, Bd Anspach 130, 1000 Bruxelles, Belgium",Bruxelles,1000,4.9,161,store|health|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ-xvPw2jFw0cRfkuSb_Qtxn4,boutique bio locale,magasin,
bocally - le premier click&collect durable bruxellois - livraison locale,"Rue de Stalle 280, 1180 Uccle, Belgium",Uccle,1180,5,13,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJuyBTSmXFw0cREut5OzqasO0,boutique bio locale,magasin,
Maison Moulin Bio Market,"Quai des Péniches 59, 1000 Bruxelles, Belgium",Bruxelles,1000,4.8,114,supermarket|grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ_70kiy7Dw0cRGBT2XXm7QLE,boutique bio locale,magasin,
The Barn Bio Market - Auderghem,"Waversesteenweg 1620, 1160 Oudergem, Belgium",Oudergem,1160,4.6,124,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJB9MiIGvbw0cRBDH7M55-4Bs,boutique bio locale,magasin,
Stay Bio,"Rue de la Croix de Fer 61, 1000 Bruxelles, Belgium",Bruxelles,1000,4.7,27,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJe-ScvvjDw0cR8GhUHMiwYgk,boutique bio locale,magasin,
Les idées à la pelle,"Av. Louis Bertrand 25, 1030 Bruxelles, Belgium",Bruxelles,1030,4.4,61,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJQfAw6W3Dw0cRjvUTvpxo0gI,boutique bio locale,magasin,
The Barn Bio Market,"Av. Milcamps 166, 1030 Schaerbeek, Belgium",Schaerbeek,1030,4.8,45,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJobA0LwDDw0cRx1HYWq4u998,boutique bio locale,magasin,
Prim Land,"Bergensesteenweg 576, 1070 Anderlecht, Belgium",Anderlecht,1070,4.4,1843,supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJcT7ewh7Ew0cRu-SZPRy_884,magasin de producteurs;primeurs bio,magasin;producteur,Fruits & Légumes
Buurderij Sint-Lambrechts-Woluwe,"Av. Albert Dumont 10, 1200 Woluwe-Saint-Lambert, Belgium",Woluwe-Saint-Lambert,1200,4.7,17,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJoXlPjqrdw0cRPtNU0ksZHA0,magasin de producteurs,magasin,
Georges Market,"Av. Georges Henri 332B, 1200 Woluwe-Saint-Lambert, Belgium",Woluwe-Saint-Lambert,1200,5,9,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJq483tsjbw0cRn6XJqI3gSIQ,magasin de producteurs,magasin,
Färm,"Av. Rogier 383, 1030 Schaerbeek, Belgium",Schaerbeek,1030,4.4,394,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ7208OQLDw0cRdVrvrW5AvX8,magasin de producteurs,magasin,
FOODMET,"Ropsy Chaudronstraat 24/bus 48, 1070 Anderlecht, Belgium",Anderlecht,1070,4.4,28,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJnfu-5SDFw0cR8RSQ9H6KYKk,magasin de producteurs,magasin,
Toufin (Au),"Rue de la Procession 68, 1070 Anderlecht, Belgium",Anderlecht,1070,4.2,17,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJaZnS2qbGw0cRdqlH59030FA,magasin de producteurs,magasin,
nuu miso,"BE-HERE, Rue Dieudonné Lefèvre 4, 1020 Bruxelles, Belgium",Bruxelles,1020,5,10,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ_exV3ADFw0cRh-pld6oY0-A,magasin de producteurs,magasin,
